,rowid,kepid,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_time0,koi_eccen,koi_impact,koi_duration,koi_depth,koi_ror,koi_srho,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_dor,koi_ldm_coeff4,koi_ldm_coeff3,koi_ldm_coeff2,koi_ldm_coeff1,koi_model_snr,koi_count,koi_tce_plnt_num,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sdec,koi_fwm_srao,koi_fwm_sdeco,koi_fwm_prao,koi_fwm_pdeco,koi_dicco_mra,koi_dicco_mdec,koi_dicco_msky,koi_dikco_mra,koi_dikco_mdec,koi_dikco_msky
2,-1.5213829879738172,1.1824981416115068,-0.037902277084349734,-0.6145350290152649,-0.5726552821546279,-0.428878965990364,-0.2613334269692714,0.2513873763412743,0.2513831157668689,0.0,0.09008902181339347,-0.571994522856376,-0.130763993542155,-0.0336239953411917,0.011315919104001365,-0.024637755308722056,-0.16023308217023619,0.4446761558922556,-0.5893622615623921,-0.08580144498281575,-0.009329206444913907,0.0,0.0,0.2774874850833166,-0.2320342797360418,-0.2432963307421843,-0.48603011372612437,-0.3612742139457459,0.21569313037877128,0.54649738803063,-0.19842901794869178,-0.18562714646079517,-0.1368389059128305,1.0514806025906036,1.2067252586429418,0.8582373195841723,0.7391398052451564,0.8566091977233017,0.9093456444160987,0.9660435608629063,1.0057841947283992,1.0420181944101368,1.0400069726260492,0.6108341009678739,1.051509519935047,1.2067567617116006,0.027817464299456994,0.0537270489353165,0.011113655633533625,-0.0028709557951232894,0.006694464559801964,0.027071988653237313,-0.5837887925876291,0.016749609481306164,0.02967344227160109,-0.5832648208936947
58,-1.5015335791565712,1.5605769443971182,-0.037902277084349734,-0.6145350290152649,-0.5726552821546279,-0.428878965990364,-0.06648646015937772,0.21225500908622752,0.21226036872073237,0.0,0.06910174109047866,-0.33071974962194806,-0.20285867701445867,-0.05787770302077077,-0.11156404983562943,-0.026912886492133057,0.06996642740627176,0.4504979989308251,-0.8175796312348388,-0.0865624168527326,-0.00108217951390574,0.0,0.0,0.2047038491341176,-0.11417274303715204,-0.292867869887328,-0.48603011372612437,-0.3612742139457459,-0.3055021251905447,0.4493820264579911,-1.4506353661920905,-0.21442157018650576,-0.8773226760872882,0.4828479403406422,1.7453631946342794,0.8991203610088024,0.8538018416847538,0.9149820797888871,0.9126622715997225,0.9027138630630367,0.8126447131129149,0.8068213955500632,0.7477370908936761,-0.4363607070768013,0.48288400559046374,1.7454088485959298,0.038728978747649974,0.07867297032413861,0.00962639557804049,-0.02411319368885931,0.006694464559801964,0.058974609404404396,-0.5788940182810345,-0.004749801737534307,0.03193837347683218,-0.5747715122150563
62,-1.5001157642410536,1.5978475668088314,-0.037902277084349734,-0.6145350290152649,-0.5726552821546279,-0.428878965990364,-0.381529453653496,-0.4008547340772102,-0.4008624197400875,0.0,0.1729525957021434,-0.7589603270047407,-0.29271453923154633,-0.004666736579262492,0.04245813587413179,-0.023081424386360506,-0.420505311504795,0.3579953817624474,-0.4612402294655799,-0.08500461153245298,-0.1790805107748316,0.0,0.0,-1.6449498557487907,1.5919213045877538,-0.32205720258193044,0.586817652661301,1.2048059361177708,-0.870237033559263,0.6803591026307545,0.914643291600996,-0.2197170963889353,-0.4696069159912305,0.3805538869205794,1.7869128093580122,0.7764712367349118,0.8611051561076566,0.7710489459285368,0.7277603061126711,0.7262351051940696,0.6246556176738437,0.5174156690716831,0.4894926580794013,-0.3070258901469809,0.380573363237238,1.7868260814387247,0.020051611674166497,-0.043906126155418335,0.003082451333870698,-0.0009966406868524632,-0.19766095264887146,-0.14407618855302373,-0.36580817680061456,0.049631061933650404,-0.10358001030282796,-0.46468516511116675
63,-1.4997613105121743,0.7201369640469688,-0.037902277084349734,-0.6145350290152649,-0.5726552821546279,-0.428878965990364,-0.4176566398151907,-0.48805565142196666,-0.48806248568677024,0.0,-0.03474911352118613,-0.3656937482741091,-0.3011205932939632,-0.08855720772414666,-0.14399603683784953,-0.029146301588965303,-0.511797496484592,0.1639339471434721,0.2567769920769718,-0.0700899975679063,-0.331306882876357,0.0,0.0,0.22210863164370853,-0.16440880785962983,-0.32834800704197403,1.6596654190487263,2.7708860861812874,0.12093035663889565,0.008425790128172413,0.2189730981324411,-0.11314463156504094,-0.19679710592695668,-0.8773065117032973,0.6925030042990905,-1.2620694366539955,-1.3291588393213158,-1.268803412281209,-1.2182706938788457,-1.1601454932713517,-1.091281376767729,-1.0083033421209875,-0.9866883565211187,3.030646804816127,-0.8773369317077216,0.6925259076004979,-0.029099354308684752,0.03494592421154812,0.0008813064517408584,-0.010405702530372008,0.02144176270888149,0.021066789453017626,-0.5811782462907786,-0.030464783783598397,-0.07338092756641344,-0.4940850797679918
84,-1.492317782205707,-1.7059715295915525,-0.037902277084349734,-0.6145350290152649,-0.5726552821546279,-0.428878965990364,-0.35360451553043526,0.2735022398667181,0.27350416135828115,0.0,0.07235838809920682,-0.3082844640236841,-0.21097622622064477,-0.05911323527460264,-0.1460360492109413,-0.026842290037922843,-0.35176766634353596,0.2447928782347118,-0.35714107838692,-0.08407329715541802,-0.2892058103935604,0.0,0.0,0.7015312771351723,-0.8310027449271187,-0.1082956670296483,-0.48603011372612437,-0.3612742139457459,0.3885711635528687,0.5386231695247423,-1.381068346845235,-0.19621819886565425,-0.36468006596650965,-0.15918131343882636,-1.5312885948328154,1.0353971657575693,0.8990823911067582,1.041323386177418,1.0925892963113375,1.0960805403453031,1.1379774399229974,1.1609281001535188,1.1385935297477148,-0.4613932522890246,-0.15917122732499153,-1.5312014811915955,0.015038213143915671,0.04935434432405745,0.01260091568902676,-0.01411684644474824,0.018913654454753574,0.042835636553813984,-0.5945572960621374,-0.010230043812925013,0.06251494474745187,-0.5636648777891445
92,-1.489482152374672,-1.5793398428687635,-0.037902277084349734,-0.6145350290152649,-0.5726552821546279,-0.428878965990364,-0.26398064981290636,0.35465716073890635,0.3546603193431121,0.0,-0.09481615834883891,-0.5381506883528001,0.0410146356103096,-0.039671523192363396,0.37360391232752466,-0.02495864828240485,-0.17097333922668292,0.48995715730335004,-0.5826892390573498,-0.08577183201108389,0.1583603411522518,0.0,0.0,0.22210863164370853,-0.16440880785962983,0.0891097769265204,-0.48603011372612437,-0.3612742139457459,0.03257047301657918,0.41001093392854365,0.0798390594387301,-0.1733812421176769,-0.23576993593613835,0.3769321845225874,-1.442194080281331,0.9592424807509049,0.8318918984160404,0.9597612769898859,1.0121610871084488,1.0530163458413924,1.1002079412959704,1.1259545984642894,1.0993333963806797,-0.5490071605318062,0.3769421298542489,-1.4421442177017418,0.007763870178453685,0.01630816685208332,-0.15992125074817687,-0.17655748916155312,0.29363475140332074,0.2777890552624092,-0.2995655645180338,0.039513691948313716,0.06138247914483633,-0.5659515378180088
112,-1.482393077797084,-1.16967565234319,-0.037902277084349734,-0.6145350290152649,-0.5726552821546279,-0.428878965990364,-0.11942765748621403,0.19630734549569406,0.19630308196108798,0.0,0.0774242834461173,-0.3964678125903119,-0.23017047007096836,-0.06082702621996538,-0.11218231125422287,-0.026880797194764782,0.03738764766838341,0.4420886700973365,-0.7588570331904666,-0.08643173942701679,-0.03812507547901734,0.0,0.0,-0.16079658356729556,0.23458147621120046,-0.24266725029617994,-0.48603011372612437,-0.3612742139457459,-0.22482570970929922,0.383763538908912,-0.12886199860183634,-0.18463423529783965,-0.49958601599829355,-1.2934891963777795,-1.1484608145274442,1.057041128864726,1.004980450238869,1.061314099213578,1.0726895332095914,1.0977693322866322,1.0993495435999006,1.0944784469439826,1.0827568956257092,-0.006635347600301129,-1.2934565461929313,-1.1483896070347819,0.05347426854250535,0.04211429242672689,-0.01714428542083593,-0.011617759633720475,0.04840825075291262,0.04133433675375907,-0.5733466074002272,0.01464182406769435,-0.06243376007446319,-0.5035583856018576
118,-1.4802663554238076,-1.0227273308051095,-0.037902277084349734,-0.6145350290152649,-0.5726552821546279,-0.428878965990364,-0.4062149577712039,0.21365366861988444,0.2136472144624645,0.0,0.20262426844833337,4.57938530132555,-0.2628519218177616,0.032366513876934,-0.15464688113622466,-0.01966712314637558,-0.48816893096040925,-4.080189627973517,0.10062826545898194,-0.07542929787475239,-0.36770376173187297,0.0,0.0,0.7347585891989369,-1.2039089184170468,0.03425396203494004,-0.48603011372612437,-0.3612742139457459,0.9968457247209893,0.43100884994424943,-5.346388449615997,-0.19952790274217272,-0.661473156036434,0.6514199938361889,-1.0249229566637856,0.7251670278883171,0.5339166699615489,0.7438615761993603,0.8115051424991836,0.8647160443831156,0.9800322638463351,1.0892324216905978,1.0042366288916391,-0.42801652533939355,0.651444277051136,-1.0248353733346776,0.024966708272451624,0.06075204978619169,-0.0006356988048621391,-0.003995544860085784,0.02017770858181753,0.0030511918523585665,-0.5655149685096758,-0.014867171722870994,0.0009843136720073024,-0.550924914771187
166,-1.4632525764375968,-0.29796031289497904,-0.037902277084349734,-0.6145350290152649,-0.5726552821546279,-0.428878965990364,1.7905957009630866,0.8086865120610025,0.8086896436712069,0.0,0.020975735294829125,0.41250063046921537,0.02509168999320339,-0.03600830423686367,-0.10589798089084583,-0.025924536133190054,1.670980745953929,0.4964258717906498,-1.1899342870161993,-0.0868612633564486,0.8932391659295028,0.0,0.0,-3.121191863153199,2.8342978307744073,0.002674123645521127,-0.48603011372612437,-0.3612742139457459,-1.8434763314282558,0.7643507666935775,0.8450762722541404,-0.25546189825533466,-1.0212223561211906,0.2059548298433246,-0.406039370903783,0.64660745809197,1.0312723821613252,0.6423087539756681,0.4533094066677664,0.33696856271754333,0.14481130557137215,-0.02642228219584718,-0.1037715794669067,-0.5490071605318062,0.20599250409858694,-0.40596569772961144,0.04443049080166071,0.06068036610403991,-0.06027482703013684,-0.01036821622820659,0.03871716911208894,0.03157588805340208,-0.5792203365681408,0.06438555982893307,0.022878648655907823,-0.5519049119264146
172,-1.4611258540643204,-0.425742033224043,-0.037902277084349734,-0.6145350290152649,-0.5726552821546279,-0.428878965990364,-0.07285374989298796,0.20009792000267732,0.20010406657653626,0.0,0.05824625106138477,0.2714897442004805,-0.06218497033976688,-0.040644215350542245,-0.14753448551621842,-0.024762903568458342,0.15911056097477955,0.40198264027608127,-0.7041382486491197,-0.08627498085188576,-0.17266157481353026,0.0,0.0,0.6018493409438782,-0.6290924074675457,0.36666006970364484,-0.48603011372612437,-0.3612742139457459,0.5601686187034542,0.39688723641872786,-0.19842901794869178,-0.153853989246218,0.10299389414367391,0.24219723958776015,-0.4995800449082503,0.7844875193671921,0.6376237347667884,0.7742474600143234,0.8488171983149562,0.8765375879724253,0.9002012781119348,0.9755685412005988,0.9885325755448245,-0.5490071605318062,0.24222442803446376,-0.49950752167945717,0.03135633385022229,0.05680944726784337,-0.07217290747408191,0.010874021665529431,0.06736906265887202,0.013560290452743016,-0.5524622370254234,0.04204303444464789,0.04892535751606534,-0.5701981921573279
