,rowid,toi,toipfx,tid,ctoi_alias,pl_pnum,ra,dec,st_pmra,st_pmdec,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_rad
48,-1.3032853676939304,-0.7764759133496302,-0.7764753337054756,0.85500521605514,0.8550052160500161,-0.21735551665023226,-0.34567358706589907,-1.392220254203516,-0.10595919273288519,0.2043481172133155,-0.24090145544296146,-0.16793356399274734,-0.6746801045709664,-0.5193764687190167,-0.02806963682746745,13.398767987486437,4.952478973039828,-0.7479805542783904,1.0198137999872998,2.7366270530474526,0.6844514612680294
63,-1.2970176512136944,-0.7695796677156397,-0.7695790898260895,1.2774486653520751,1.2774486653470476,-0.21735551665023226,1.5181866687441612,-1.727745270130832,0.06476262721748449,-0.024770189546432734,-1.6703333933024438,-0.08977052640537966,0.1423610880331178,-0.5336080794605497,-0.5582803501528095,-0.1961960271388011,-0.16731224571094822,-0.7785866262253421,-0.44855547132779067,0.26033307406628003,-0.048077112137812135
64,-1.2965998034483452,-0.7690870787417833,-0.7690865009775619,0.6002449648261392,0.6002449648209572,-0.21735551665023226,-0.4777352935482441,-1.7598168937106566,0.9299876360739285,-0.06799467982071143,-1.2494257919801433,0.6981046963546862,2.1585097894590612,-0.499603380369883,-0.5666701954142582,-0.23352444912736534,-1.130957877605549,-0.9308473942090155,-0.6133638859743532,-0.0826408566845862,-0.1940581738816378
65,-1.296181955682996,-0.7685944897679268,-0.7685939121290344,-1.399090731260712,-1.3990907312663499,-0.21735551665023226,1.0425277849509493,-0.7563833156146087,0.012771420259674019,0.013027892123933755,-1.1661203391670891,0.010241423400189508,2.3826075965049034,-0.4922002178455645,0.17513015754352287,-0.1550582311497994,0.14000267869256228,-0.9491991975040932,-0.04757579995332076,0.03880051228488095,0.6635272602317293
66,-1.295764107917647,-0.7681019007940704,-0.7681013232805067,0.9955490517236402,0.9955490517185482,-0.21735551665023226,0.8611592017414181,-1.3834527718666407,0.021351171053482186,-1.8654335471644024,0.9935913003827987,-0.018619496275807598,-0.5562592096106003,0.8972209864195527,0.4883254880706993,-0.23179902427603602,-0.8562579952886124,-0.7097969635515355,-0.6119695585918279,-0.14140280941174774,-0.19520746387636487
71,-1.2936748690909017,-0.7661315448986444,-0.7661309678863965,1.1751558951097998,1.175155895104749,-0.21735551665023226,0.4911995911536905,-1.8598798840039141,-0.7270498360979155,0.07911800995745105,-1.2164449463373632,-0.008022117252927263,-0.3333065145778832,-0.5004570826785318,-0.5823547962427222,-0.23077132141220363,-0.8560413188678961,-1.132243635531123,-0.700780780209357,-0.11332765421988168,-0.2459796438639224
84,-1.2882428481413635,-0.7607130661862234,-0.7607124905525932,0.6288317831089986,0.628831783103823,-0.21735551665023226,1.2489511179810984,-1.6221139761724286,0.14739580129603844,0.5880895778334525,-1.1666746551384688,0.05857036107809986,0.4559973579615398,-0.48748623332523416,-0.6051206879714962,-0.23246026213331628,-0.9853769295668833,-0.2057735659570566,-0.5920291246329281,-0.3392347169265249,-0.26312687250694333
87,-1.2869893048453163,-0.7592352992646539,-0.7592347240070104,0.9213406173886318,0.921340617383523,-0.21735551665023226,-0.044902962642214814,-1.9683667287900406,-0.19562600004856665,0.2715687368393145,-1.1794684151268515,-0.15336239717841094,-0.5941876465446857,0.6736602883476667,0.16040251119831367,-0.1809985892479473,-0.03336862090192697,1.4678516951885288,0.24608911631365546,-0.3483754651285278,-0.18002765806400747
89,-1.2861536093146182,-0.758250121316941,-0.7582495463099552,0.9849675879078617,0.9849675879027674,-0.21735551665023226,0.987804500240353,-1.2643152720307462,-0.024920202041789515,0.14717421786484955,-1.1760602885684681,-0.12659485228356301,-0.5348424868828208,-0.14837414244299582,0.3280246988296334,-0.0951289168567933,0.4176566989184206,1.2709546056419885,1.9292243198885821,0.5180368823041761,0.07307435432064706
91,-1.28531791378392,-0.7577575323430846,-0.7577569574614277,-0.511262636887282,-0.5112626368927176,-0.21735551665023226,0.9240220115019324,-1.1960082601967599,-2.1783815744850665,-0.5102371505891842,-1.179531504473991,-0.11283705633123034,-1.1466427713727425,-0.2904849183872591,-0.6944667927362398,-0.23389846634103495,-1.2277315133759146,1.021310881463469,-0.7844241936417534,-1.586293935914064,-0.448630702129629
93,-1.2844822182532218,-0.7567723543953716,-0.7567717797643725,0.17494635336090353,0.17494635335562456,-0.21735551665023226,-0.9002435158125895,-1.8116476564501613,-0.09544078676437899,0.6225944586300679,-1.2213918756648288,0.09986972042746743,0.3591111173567536,-0.3990116493355286,-0.5240301057948433,-0.23366412387746033,-1.161155456160336,0.5339817049309636,-0.6087478814395926,-0.9242426018547107,-0.2946528970404901
94,-1.2840643704878727,-0.7562797654215152,-0.756279190915845,0.5943322788969224,0.594332278891739,-0.21735551665023226,1.117262479283227,-1.9517190962769935,-0.6755072435606964,-2.684378876088518,-1.218653128842027,0.04203410333108665,-0.27418119771251287,-0.38461104492094617,-0.6050570882492253,-0.23393307069978583,-1.240373475972308,0.658359571779214,-0.6824560066402291,-1.3786683696114266,-0.3488606185140732
97,-1.2828108271918255,-0.7548019984999458,-0.7548014243702622,1.5946090185181294,1.5946090185131743,-0.21735551665023226,1.1999067623876027,-1.9785326800192533,0.12204908653263132,0.029149830729759785,-1.1776896073868186,-0.11708659753379856,1.4941155655686733,-0.2029670563385395,0.3143284301028201,-0.11284733325930404,0.34690220129343013,0.7392851043739579,0.8875408669851079,0.060346561618173505,0.19656484509167624
103,-1.280303740599731,-0.7523390536306634,-0.7523384801276243,-0.28923275502941054,-0.28923275503479534,-0.21735551665023226,0.41132598445605295,-1.2780483962702713,-0.051324365082304674,0.023467830416243056,-0.12386062563666404,-0.1513082527848627,0.410230531362326,-0.3622350687433827,0.33708233742979987,2.94795613849995,3.3512482930279224,-0.9641174376020271,-0.08793790839484608,1.0592997579799195,0.30135704516839806
107,-1.2786323495383347,-0.7503686977352376,-0.750368124733514,0.9574233651846809,0.9574233651795804,-0.21735551665023226,-0.42131362833016994,-1.7064048272688055,-0.04620535410448635,0.28514458879946436,-0.20192439399462853,-0.15549486147784142,-0.45937179962923685,-0.40712485942086496,0.24207045691189708,0.913135554240564,1.8853799401700748,-0.32701386643550334,0.5256084777923256,0.8751789727681467,0.39544064325551426
117,-1.274453871884844,-0.7464279859443859,-0.7464274139452934,0.7954629367735765,0.7954629367684389,-0.21735551665023226,1.2425809534392855,-1.4451705196077003,0.12357117117392313,-0.07319498806612726,-0.6055370359313628,-0.13039707842288392,0.6435211584937223,-0.23067217096227793,2.6103810429896077,-0.07449922720567367,0.6933033553640155,-0.24964029576883906,-0.09136962845406435,-0.8413229574508273,0.554776173922277
119,-1.2736181763541456,-0.745442807996673,-0.7454422362482382,0.26438054331641303,0.26438054331115446,-0.21735551665023226,-0.3071390520630188,-1.997970297686455,-0.16021750470904086,0.26174811692027783,0.9646247385119192,0.0057474893893141735,-0.3492795554639481,-0.4477509523011008,-0.5688740220406682,-0.23292397414973753,-0.9771286154643243,-0.41474732605906617,-0.6574964174829977,-0.6931122544612087,-0.2568499546543354
