,rowid,default_flag,sy_snum,sy_pnum,sy_mnum,cb_flag,disc_year,rv_flag,pul_flag,ptv_flag,tran_flag,obm_flag,micro_flag,etv_flag,ima_flag,dkin_flag,pl_controv_flag,pl_orbper,pl_tranmid,ttv_flag,st_rad,ra,dec,glat,glon,elat,elon,sy_pm,sy_pmra,sy_pmdec,sy_dist,sy_bmag,sy_vmag,sy_jmag,sy_hmag,sy_kmag,sy_w1mag,sy_w2mag,sy_w3mag,sy_w4mag,sy_gaiamag,sy_tmag,sy_kepmag,pl_nnotes,k2_campaigns_num,st_nphot,st_nrvc,st_nspec,pl_nespec,pl_ntranspec,pl_ndispec
3,-2.861760221322341,1.4955765164670694,-0.26531226144965037,-1.3593408683703152,0.0,0.0,0.267693230789289,-0.7818297101609873,0.0,0.0,0.07408423721798861,0.0,0.0,0.0,0.0,0.0,0.0,-0.1350461232677271,0.2641410022623145,-0.23125529383306978,-0.40547852274841456,0.07986725060371747,-0.570516711221581,1.0479654826219256,0.9633226504935136,-0.7524315335836984,0.10755707460892702,0.6381878504995533,-1.5043069729552543,-0.0035900861396711745,-0.6878227749932533,-0.5126014090873574,-0.6276470575213402,-0.8414857041096343,-0.9007296342536565,-0.9458405631083641,-0.9214519574456452,-0.9084351489454286,-0.9339839890038745,-0.8160848476011116,-0.6889830571942566,-0.7570183533796442,-0.7597653538423123,-0.5929049649547872,-0.5883122762658831,-0.19783284165880421,-0.0996133650256379,0.0,0.0,-0.15817182016715717,0.0
4,-2.8606485086426092,-0.6686384741866993,-0.26531226144965037,-1.3593408683703152,0.0,0.0,0.267693230789289,-0.7818297101609873,0.0,0.0,0.07408423721798861,0.0,0.0,0.0,0.0,0.0,0.0,-0.135040719803665,0.26413147714209595,-0.23125529383306978,-0.488829688971186,0.07986725060371747,-0.570516711221581,1.0479654826219256,0.9633226504935136,-0.7524315335836984,0.10755707460892702,0.6381878504995533,-1.5043069729552543,-0.0035900861396711745,-0.6878227749932533,-0.5126014090873574,-0.6276470575213402,-0.8414857041096343,-0.9007296342536565,-0.9458405631083641,-0.9214519574456452,-0.9084351489454286,-0.9339839890038745,-0.8160848476011116,-0.6889830571942566,-0.7570183533796442,-0.7597653538423123,-0.5929049649547872,-0.5883122762658831,-0.19783284165880421,-0.0996133650256379,0.0,0.0,-0.15817182016715717,0.0
5,-2.8595367959628777,1.4955765164670694,-0.26531226144965037,-1.3593408683703152,0.0,0.0,-0.66553987826103,-0.7818297101609873,0.0,0.0,0.07408423721798861,0.0,0.0,0.0,0.0,0.0,0.0,-0.14616521895185705,-0.8279787403576545,-0.23125529383306978,-0.7165526273628707,-0.005788340133686447,-0.5438080381548751,0.9925898077410096,0.8282046748474924,-1.482231464000742,0.026872664530094997,1.0134190362292952,0.8116376440041034,-1.662041307079876,-0.0654583885166536,3.6391423084765733,3.824130193670789,3.0500591280559055,2.9487457556455885,2.8801133933471137,2.8450665498215395,2.67674693586214,1.7393253782241973,0.44215982187817204,3.566274535662831,3.3409532319993582,3.230196985051874,-0.5929049649547872,-0.5883122762658831,-0.19783284165880421,-0.0996133650256379,0.0,0.0,-0.15817182016715717,0.0
6,-2.8584250832831457,-0.6686384741866993,-0.26531226144965037,-1.3593408683703152,0.0,0.0,0.267693230789289,-0.7818297101609873,0.0,0.0,0.07408423721798861,0.0,0.0,0.0,0.0,0.0,0.0,-0.09611166384030546,0.2675080191522122,-0.23125529383306978,-0.36207073032871945,0.05306417977754604,-0.5421117112028392,1.0412380494384976,0.9177146185026397,-0.9088386200378913,0.08105333363566061,0.6557459503725767,-1.2793609347010835,-0.6446481521961449,-0.6215973898482092,-0.485908958800846,-0.6240775448249412,-0.7359649692374534,-0.7644785665658321,-0.785471235592267,-0.8282628968318557,-0.7757358548350929,-0.7900365615377469,-0.8626865020262692,-0.6358062707818316,-0.6865713367205315,-0.628161386304361,-0.5929049649547872,-0.5883122762658831,-0.19783284165880421,-0.0996133650256379,0.0,0.0,-0.15817182016715717,0.0
7,-2.857313370603414,1.4955765164670694,-0.26531226144965037,-1.3593408683703152,0.0,0.0,0.267693230789289,-0.7818297101609873,0.0,0.0,0.07408423721798861,0.0,0.0,0.0,0.0,0.0,0.0,-0.09610663198994278,0.2675023521300141,-0.23125529383306978,-0.2652382111022572,0.05306417977754604,-0.5421117112028392,1.0412380494384976,0.9177146185026397,-0.9088386200378913,0.08105333363566061,0.6557459503725767,-1.2793609347010835,-0.6446481521961449,-0.6215973898482092,-0.485908958800846,-0.6240775448249412,-0.7359649692374534,-0.7644785665658321,-0.785471235592267,-0.8282628968318557,-0.7757358548350929,-0.7900365615377469,-0.8626865020262692,-0.6358062707818316,-0.6865713367205315,-0.628161386304361,-0.5929049649547872,-0.5883122762658831,-0.19783284165880421,-0.0996133650256379,0.0,0.0,-0.15817182016715717,0.0
9,-2.8550899452439507,1.4955765164670694,-0.26531226144965037,-1.3593408683703152,0.0,0.0,0.7343097853144486,-0.7818297101609873,0.0,0.0,0.07408423721798861,0.0,0.0,0.0,0.0,0.0,0.0,-0.05073229797987718,-0.8181812922912363,-0.23125529383306978,-0.6874805830276083,-0.03715027844040731,-0.5014636319764095,0.9739532220165101,0.7790527680882589,-1.6335169078254521,-0.0049061679807054165,1.5976409163809762,-2.4315662899331385,0.847502397895167,-0.3163982130246916,1.0040636161922007,0.9304452344567681,0.8939936162349597,0.734283178000228,0.7418556931324748,0.7383827041425906,0.7353485925484986,0.7736437791085804,0.887205621638434,0.9874298875732553,0.9697038501794026,0.9868555076357256,-0.5929049649547872,-0.5883122762658831,-0.19783284165880421,-0.0996133650256379,0.0,0.0,-0.15817182016715717,0.0
10,-2.8539782325642187,1.4955765164670694,-0.26531226144965037,-1.3593408683703152,0.0,0.0,0.7343097853144486,-0.7818297101609873,0.0,0.0,0.07408423721798861,0.0,0.0,0.0,0.0,0.0,0.0,-0.1427236472327435,-0.8278160219118322,-0.23125529383306978,0.9453992404696299,-0.015978606813813984,-0.4874852281625428,1.0004266722521733,0.8070315522161,-1.3798957912968841,0.01379746966449379,0.09944169061380125,0.2596517965199687,-0.7695570439521241,1.1483042210105434,-0.6134988711703693,-0.23797525483113016,0.12391676386989439,0.2145389366517329,0.25845672019109467,0.24341130022672486,0.1999491284501507,0.11559839640628526,0.7334201620354132,-0.2648145845654367,-0.08286981523125651,-0.2475222186561334,-0.5929049649547872,-0.5883122762658831,-0.19783284165880421,-0.0996133650256379,0.0,0.0,-0.15817182016715717,0.0
11,-2.852866519884487,1.4955765164670694,-0.26531226144965037,-1.3593408683703152,0.0,0.0,0.267693230789289,-0.7818297101609873,0.0,0.0,0.07408423721798861,0.0,0.0,0.0,0.0,0.0,0.0,-0.13092763911657876,0.26409493120669136,-0.23125529383306978,3.4786241258942026,0.055467567777842765,-0.4811457053993219,1.063315518177958,0.9164041324030195,-0.6685495332463758,0.07933736757919388,-0.9693392255313058,-0.09751054520729213,0.6698647412667758,2.329871313327711,-0.8991080892360378,-0.7858954537283569,0.003428548874000125,0.17090797677417108,0.24318345090384624,0.23348131835804242,0.22372761467801341,0.2735292882548361,-1.207538744772442,-0.4029693181917974,-0.24869340911672302,-0.38452532332384615,-0.5929049649547872,-0.5883122762658831,-0.19783284165880421,-0.0996133650256379,0.0,0.0,-0.15817182016715717,0.0
12,-2.851754807204755,1.4955765164670694,-0.26531226144965037,0.2942530697800284,0.0,0.0,0.267693230789289,-0.7818297101609873,0.0,0.0,0.07408423721798861,0.0,0.0,0.0,0.0,0.0,0.0,0.023679729632183493,0.2853739646690287,-0.23125529383306978,0.3408380029499774,0.05034895501488054,-0.4779290244367731,1.0608204307369533,0.9077587299293172,-0.7063840266195521,0.07441279349831653,0.4288264865668644,-1.3258282740581047,1.1057324650228153,-0.14031022337717325,-1.1687018371298,-1.0774056572675983,-0.8572015582395328,-0.7124275968873379,-0.6625214178299256,-0.6518147574729591,-0.6369001771820832,-0.682281630120246,-0.9092881564514267,-1.1198396090019507,-1.027181961998786,-1.0742650916509537,-0.5929049649547872,-0.5883122762658831,-0.19783284165880421,-0.0996133650256379,0.0,0.0,-0.15817182016715717,0.0
14,-2.8495313818452916,1.4955765164670694,-0.26531226144965037,-1.3593408683703152,0.0,0.0,-0.66553987826103,-0.7818297101609873,0.0,0.0,0.07408423721798861,0.0,0.0,0.0,0.0,0.0,0.0,0.6453232613828511,-0.7326956007408131,-0.23125529383306978,-0.8166896689621077,-0.07932372083729927,-0.46151753757338654,0.9367322899699568,0.7184299780546094,-1.8954061940963847,-0.046681178519251826,0.8658287947806932,-1.7087226999043652,1.2378553582577685,0.07457178344975836,0.873804458794027,0.8780923815762507,0.9860436189957978,0.8980906414001961,0.8747331359315269,0.8957347245232513,0.8803206537441833,1.065651417682724,1.3905034894301491,0.9932655645038412,1.0249550391893834,1.0064273797311132,-0.5929049649547872,-0.5883122762658831,-0.19783284165880421,-0.0996133650256379,0.0,0.0,-0.15817182016715717,0.0
